Disaster Date,Disaster Type,Disaster Frequency,Risk level,Disaster Location,Temperature (C),Precipitation (mm),Wind Speed (km/h),Humidity (%),Climate Zone,Recommended Material,Material Cost (per sqft) ,Material Durability,Soil Type,Structural Features,Foundation Type,Income Level (annual)
30-06-2022,Landslide,2,High,J and K,24,100.775,14,66,Mountain,Stone,1100,Medium,Rocky,Stone walls,Deep,"45,000"
20-07-2022,Flood,7,High,Maharashtra,26,400.765,11,88,Tropical Wet,Brick,1200,High,Sandy,Concrete Slabs,Raised,"55,000"
14-09-2022,Cyclone,2,Moderate,Andhra Pradesh,25,100.523,80,75,Tropical Wet,Steel,1300,High,Loamy,Steel Frame,Raised,"55,000"
01-10-2022,Earthquake,3,Moderate,Sikkim,15,27.764,11,45,Mountain,Stone,1000,Medium,Rocky,Concrete Slabs,Deep,"45,000"
04-11-2022,Forest Fire,8,High,Madhya Pradesh,30,23.986,14,20,Semi-arid,Timber,900,Medium,Sandy,Timber,Shallow,"35,000"
25-11-2022,Cyclone,4,Moderate,Tamil Nadu,24,100.776,70,70,Tropical Wet,Reinforced Concrete,1450,High,Loamy,Reinforced Concrete,Raised,"40,000"
16-01-2023,Earthquake,2,High,Assam,5,25.876,20,50,Mountain,Reinforced Concrete,1250,High,Rocky,Reinforced Concrete,Deep,"50,000"
14-03-2023,Cyclone,1,High,West Bengal,24,150.876,100,80,Tropical Wet,Steel,1200,High,Loamy,Steel Frame,Raised,"60,000"
17-05-2023,Forest Fire,8,High,Himachal Pradesh,30,30.865,10,25,Semi-arid,Timber,700,Medium,Sandy,Timber,Shallow,"35,000"
05-06-2023,Flood,9,High,Bihar,28,400.866,20,80,Subtropical,Reinforced Concrete,1000,High,Alluvial,Reinforced Concrete,Raised,"35,000"
12-07-2023,Cyclone,3,High,Gujarat,25,100.254,120,80,Tropical Wet,Stone,1200,High,Loamy,Steel Frame,Raised,"55,000"
01-08-2023,Earthquake,2,Moderate,Sikkim,10,20.865,15,40,Mountain,Stone,1200,Medium,Rocky,Stone walls,Deep,"45,000"
22-08-2023,Landslide,8,Moderate,J and K,25,150.876,20,70,Mountain,Brick,1000,Medium,Rocky,Brick walls,Deep,"50,000"
14-09-2023,Flood,9,High,Maharashtra,26,350.755,20,75,Tropical Wet,Reinforced Concrete,1100,High,Sandy,Reinforced Concrete,Raised,"60,000"
10-10-2023,Forest Fire,7,High,Madhya Pradesh,30,25.986,15,20,Semi-arid,Timber,800,Medium,Sandy,Timber,Shallow,"35,000"
01-12-2023,Cyclone,2,Moderate,Tamil Nadu,24,80.973,70,70,Tropical Wet,Steel,1200,High,Loamy,Reinforced Concrete,Raised,"55,000"
15-01-2024,Earthquake,2,High,Rajasthan,10,30.875,15,30,Arid,Stone,1200,High,Sandy,Stone walls,Deep,"50,000"
18-03-2024,Cyclone,3,High,Tamil Nadu,28,150.876,100,75,Tropical Wet,Steel,1300,High,Loamy,Concrete Slabs,Raised,"60,000"
22-05-2024,Flood,8,High,Bihar,26,400.424,20,80,Subtropical,Reinforced Concrete,1100,High,Alluvial,Concrete Slabs,Raised,"40,000"
13-06-2024,Forest Fire,9,Moderate,Madhya Pradesh,32,26.988,10,15,Semi-arid,Timber,800,Medium,Sandy,Timber,Shallow,"40,000"
29-07-2024,Cyclone,2,Moderate,West Bengal,26,150.876,80,70,Tropical Wet,Steel,1300,High,Loamy,Concrete Slabs,Raised,"60,000"
05-08-2024,Landslide,1,Moderate,J and K,5,25.987,15,40,Mountain,Brick,1200,Medium,Rocky,Stone walls,Deep,"50,000"
09-09-2024,Flood,8,High,Kerala,24,300.865,15,80,Tropical Wet,Reinforced Concrete,1100,High,Sandy,Reinforced Concrete,Raised,"65,000"
14-10-2024,Earthquake,3,High,J and K,10,26.987,20,30,Mountain,Reinforced Concrete,1300,High,Rocky,Reinforced Concrete,Deep,"50,000"
19-11-2024,Forest Fire,8,High,Rajasthan,28,23.876,10,20,Semi-arid,Timber,800,Medium,Sandy,Timber,Shallow,"40,000"
25-12-2024,Cyclone,1,High,Gujarat,24,100.543,90,75,Tropical Wet,Reinforced Concrete,1300,High,Loamy,Concrete Slabs,Raised,"60,000"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
